low_index,high_index,direction
7,23,ASCENDING
8,24,ASCENDING
9,25,ASCENDING
10,26,ASCENDING
11,27,ASCENDING
12,28,ASCENDING
13,29,ASCENDING
14,30,ASCENDING
15,31,ASCENDING
0,8,ASCENDING
1,9,ASCENDING
2,10,ASCENDING
3,11,ASCENDING
4,12,ASCENDING
5,13,ASCENDING
6,14,ASCENDING
7,15,ASCENDING
0,4,ASCENDING
1,5,ASCENDING
2,6,ASCENDING
3,7,ASCENDING
0,2,ASCENDING
1,3,ASCENDING
0,1,ASCENDING
2,3,ASCENDING
4,6,ASCENDING
5,7,ASCENDING
4,5,ASCENDING
6,7,ASCENDING
8,12,ASCENDING
9,13,ASCENDING
10,14,ASCENDING
11,15,ASCENDING
8,10,ASCENDING
9,11,ASCENDING
8,9,ASCENDING
10,11,ASCENDING
12,14,ASCENDING
13,15,ASCENDING
12,13,ASCENDING
14,15,ASCENDING
16,24,ASCENDING
17,25,ASCENDING
18,26,ASCENDING
19,27,ASCENDING
20,28,ASCENDING
21,29,ASCENDING
22,30,ASCENDING
23,31,ASCENDING
16,20,ASCENDING
17,21,ASCENDING
18,22,ASCENDING
19,23,ASCENDING
16,18,ASCENDING
17,19,ASCENDING
16,17,ASCENDING
18,19,ASCENDING
20,22,ASCENDING
21,23,ASCENDING
20,21,ASCENDING
22,23,ASCENDING
24,28,ASCENDING
25,29,ASCENDING
26,30,ASCENDING
27,31,ASCENDING
24,26,ASCENDING
25,27,ASCENDING
24,25,ASCENDING
26,27,ASCENDING
28,30,ASCENDING
29,31,ASCENDING
28,29,ASCENDING
30,31,ASCENDING
32,48,ASCENDING
33,49,ASCENDING
34,50,ASCENDING
35,51,ASCENDING
36,52,ASCENDING
37,53,ASCENDING
38,54,ASCENDING
39,55,ASCENDING
40,56,ASCENDING
41,57,ASCENDING
42,58,ASCENDING
43,59,ASCENDING
44,60,ASCENDING
45,61,ASCENDING
46,62,ASCENDING
47,63,ASCENDING
32,40,ASCENDING
33,41,ASCENDING
34,42,ASCENDING
35,43,ASCENDING
36,44,ASCENDING
37,45,ASCENDING
38,46,ASCENDING
39,47,ASCENDING
32,36,ASCENDING
33,37,ASCENDING
34,38,ASCENDING
35,39,ASCENDING
32,34,ASCENDING
33,35,ASCENDING
32,33,ASCENDING
34,35,ASCENDING
36,38,ASCENDING
37,39,ASCENDING
36,37,ASCENDING
38,39,ASCENDING
40,44,ASCENDING
41,45,ASCENDING
42,46,ASCENDING
43,47,ASCENDING
40,42,ASCENDING
41,43,ASCENDING
40,41,ASCENDING
42,43,ASCENDING
44,46,ASCENDING
45,47,ASCENDING
44,45,ASCENDING
46,47,ASCENDING
48,56,ASCENDING
49,57,ASCENDING
50,58,ASCENDING
51,59,ASCENDING
52,60,ASCENDING
53,61,ASCENDING
54,62,ASCENDING
55,63,ASCENDING
48,52,ASCENDING
49,53,ASCENDING
50,54,ASCENDING
51,55,ASCENDING
48,50,ASCENDING
49,51,ASCENDING
48,49,ASCENDING
50,51,ASCENDING
52,54,ASCENDING
53,55,ASCENDING
52,53,ASCENDING
54,55,ASCENDING
56,60,ASCENDING
57,61,ASCENDING
58,62,ASCENDING
59,63,ASCENDING
56,58,ASCENDING
57,59,ASCENDING
56,57,ASCENDING
58,59,ASCENDING
60,62,ASCENDING
61,63,ASCENDING
60,61,ASCENDING
62,63,ASCENDING
